date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d
1988-03-08,46.7488,46.9952,45.9984,46.2448,1290000,0.3222,-1.35,185727360.0
1988-03-09,46.2448,47.2528,46.2448,46.7488,1200000,0.3257,1.09,186623360.0
1988-03-10,46.9952,47.2528,45.248,45.248,1580000,0.3153,-3.19,184047360.0
1988-03-11,45.5056,45.752,44.4976,45.752,1410000,0.3188,1.11,184551360.0
1988-03-14,45.752,46.5024,45.5056,46.2448,876100,0.3222,1.07,182569520.0
1988-03-15,45.9984,46.2448,44.7552,45.0016,1620000,0.3136,-2.67,183913520.0
1988-03-16,44.8784,46.3792,44.4976,46.1216,1060000,0.3214,2.49,177025520.0
1988-03-17,46.2448,46.5024,44.7552,45.0016,2330000,0.3136,-2.43,182905520.0
1988-03-18,45.0016,45.5056,44.2512,44.7552,2430000,0.3118,-0.57,191975280.0
1988-03-21,44.3744,44.6208,42.9968,43.8704,2030000,0.3057,-1.96,193319280.0
1988-03-22,44.0048,44.4976,43.2544,44.0048,1064100,0.3066,0.29,188246240.0
1988-03-23,44.0048,44.0048,41.8768,42.504,1870000,0.2962,-3.39,191438240.0
1988-03-24,41.7536,42.504,39.9952,40.88,2860000,0.2848,-3.85,198494240.0
1988-03-25,40.7456,41.2496,39.9952,40.1296,1170000,0.2796,-1.83,200929120.0
1988-03-28,39.9952,41.7536,39.5024,41.496,1540000,0.2891,3.4,203953120.0
1988-03-29,41.496,42.0,40.6224,41.0032,1910000,0.2857,-1.18,206081120.0
1988-03-30,40.7456,41.2496,38.752,39.5024,3320000,0.2752,-3.68,210057120.0
1988-03-31,39.7488,40.4992,39.2448,39.9952,1940000,0.2787,1.27,197233120.0
1988-04-04,39.7488,40.4992,38.5056,38.752,1620000,0.27,-3.12,195833120.0
1988-04-05,39.2448,39.5024,38.5056,39.2448,1320000,0.2734,1.26,192865120.0
1988-04-06,39.5024,41.7536,38.9984,41.7536,1700000,0.2909,6.4,195161120.0
1988-04-07,41.7536,42.3696,40.7456,40.7456,1460000,0.2839,-2.41,196617120.0
1988-04-08,40.7456,41.7536,39.7488,41.0032,1810000,0.2857,0.63,197905120.0
1988-04-11,41.7536,42.0,41.0032,41.496,1330000,0.2891,1.19,197457120.0
1988-04-12,41.7536,42.2464,41.2496,41.7536,1550000,0.2909,0.62,201230960.0
1988-04-13,41.7536,42.0,41.0032,41.2496,1280000,0.2874,-1.2,199326960.0
1988-04-14,40.4992,41.496,38.9984,39.5024,1680000,0.2752,-4.24,202798960.0
1988-04-15,39.7488,39.9952,38.5056,39.5024,2080000,0.2752,0.0,201398960.0
1988-04-18,39.7488,40.7456,39.2448,39.9952,1520000,0.2787,1.27,196302960.0
1988-04-19,40.1296,41.496,40.1296,40.2528,1895800,0.2805,0.65,195551440.0
1988-04-20,40.2528,40.4992,39.2448,39.7488,1920000,0.277,-1.25,200344480.0
1988-04-21,40.376,40.4992,38.9984,39.5024,1590000,0.2752,-0.65,198776480.0
1988-04-22,39.7488,40.2528,39.5024,40.1296,961100,0.2796,1.6,188142640.0
1988-04-25,40.2528,41.0032,39.9952,40.88,1340000,0.2848,1.86,189094640.0
1988-04-26,41.0032,41.7536,40.7456,41.496,1570000,0.2891,1.51,189262640.0
1988-04-27,41.7536,42.0,41.496,41.7536,1130000,0.2909,0.62,184894640.0
1988-04-28,41.7536,42.0,41.2496,41.3728,885400,0.2883,-0.89,171260880.0
1988-04-29,41.2496,41.496,40.4992,41.0032,803500,0.2857,-0.9,164896480.0
1988-05-02,40.7456,41.2496,40.4992,41.0032,733900,0.2857,0.0,159934320.0
1988-05-03,41.0032,42.2464,40.7456,41.7536,1110000,0.2909,1.82,158758320.0
1988-05-04,41.8768,43.12,41.7536,42.0,2000000,0.2926,0.58,160438320.0
1988-05-05,42.0,42.2464,41.496,41.7536,629100,0.2909,-0.58,155785280.0
1988-05-06,41.6304,41.7536,41.2496,41.2496,955700,0.2874,-1.2,151001200.0
1988-05-09,41.2496,41.2496,40.4992,40.7456,681900,0.2839,-1.22,147371840.0
1988-05-10,40.4992,41.0032,40.2528,40.88,856300,0.2848,0.32,143487120.0
1988-05-11,40.2528,40.7456,39.5024,39.5024,1560000,0.2752,-3.37,145055120.0
1988-05-12,39.5024,40.2528,39.5024,39.7488,740900,0.277,0.65,139796160.0
1988-05-13,40.2528,40.4992,39.9952,40.4992,637500,0.2822,1.88,131718160.0
1988-05-16,40.4992,41.3728,39.9952,41.2496,667500,0.288,2.06,126944160.0
1988-05-17,41.496,42.0,40.2528,40.4992,1730000,0.2827,-1.84,126015680.0
1988-05-18,40.4992,40.7456,39.5024,39.7488,1560000,0.2775,-1.84,123999680.0
1988-05-19,39.5024,39.7488,38.5056,38.9984,2230000,0.2723,-1.87,127583680.0
1988-05-20,39.2448,39.5024,38.752,38.752,729800,0.2705,-0.66,126288400.0
1988-05-23,38.5056,38.8752,37.3744,38.0016,1640000,0.2653,-1.92,127968400.0
1988-05-24,38.0016,38.9984,37.7552,38.8752,1270000,0.2714,2.3,126288400.0
1988-05-25,38.9984,39.7488,38.5056,38.5056,1210000,0.2688,-0.96,126736400.0
1988-05-26,38.5056,39.5024,38.5056,39.3792,765900,0.2749,2.27,126067200.0
1988-05-27,39.2448,39.9952,38.9984,39.7488,749600,0.2775,0.95,125765360.0
1988-05-31,39.9952,41.496,39.7488,41.496,1100000,0.2897,4.4,127815520.0
1988-06-01,41.496,42.504,41.2496,42.504,2050000,0.2967,2.42,133079520.0
1988-06-02,42.0,42.504,41.496,41.7536,1190000,0.2915,-1.75,128543520.0
1988-06-03,41.7536,43.2544,41.7536,42.9968,1570000,0.3002,2.98,133812560.0
1988-06-06,42.7504,44.0048,42.7504,44.0048,1470000,0.3072,2.33,136692640.0
1988-06-07,43.7472,45.248,43.5008,44.0048,2780000,0.3072,0.0,148442000.0
1988-06-08,44.2512,45.5056,44.0048,45.0016,2310000,0.3142,2.28,156582720.0
1988-06-09,45.0016,45.248,43.2544,43.5008,2410000,0.3037,-3.34,161342720.0
1988-06-10,43.5008,44.7552,42.9968,44.4976,1580000,0.3107,2.3,166041680.0
1988-06-13,45.0016,45.248,44.2512,45.0016,1330000,0.3142,1.13,169919680.0
1988-06-14,45.248,45.9984,45.0016,45.248,2610900,0.3159,0.54,180802720.0
1988-06-15,45.248,45.752,45.0016,45.752,1090000,0.3194,1.11,177218720.0
1988-06-16,45.0016,45.248,44.2512,44.4976,958700,0.3107,-2.72,173851440.0
1988-06-17,44.7552,44.7552,44.2512,44.7552,851700,0.3124,0.55,166132960.0
1988-06-20,44.3744,44.7552,44.0048,44.128,701800,0.3081,-1.38,165976160.0
1988-06-21,44.0048,45.0016,43.8704,44.8784,1103500,0.3133,1.69,162971760.0
1988-06-22,45.5056,45.8752,45.0016,45.6288,1746100,0.3185,1.66,165637920.0
1988-06-23,45.752,45.752,45.0016,45.0016,637400,0.3142,-1.35,162431360.0
1988-06-24,45.0016,45.5056,44.4976,45.0016,667100,0.3142,0.0,161878080.0
1988-06-27,44.4976,45.3712,44.4976,44.4976,746600,0.3107,-1.11,161861280.0
1988-06-28,44.7552,46.2448,44.4976,46.2448,1451500,0.3228,3.89,163829680.0
1988-06-29,45.9984,46.7488,45.752,46.3792,1280800,0.3238,0.31,159522160.0
1988-06-30,46.2448,46.7488,45.9984,46.2448,1024000,0.3228,-0.31,158592560.0
1988-07-01,46.5024,46.872,46.2448,46.5024,844100,0.3246,0.56,154527520.0
1988-07-05,46.5024,47.2528,46.1216,47.2528,932600,0.3299,1.63,151518080.0
1988-07-06,47.1296,47.4992,46.1216,46.5024,1397800,0.3246,-1.61,143777760.0
1988-07-07,46.5024,46.5024,45.248,45.8752,942900,0.3203,-1.32,136122000.0
1988-07-08,45.5056,45.9984,45.0016,45.248,941000,0.3159,-1.37,127895600.0
1988-07-11,45.5056,45.5056,44.8784,45.1248,657400,0.315,-0.28,122729040.0
1988-07-12,45.0016,45.248,44.4976,44.7552,900900,0.3124,-0.83,120326080.0
1988-07-13,44.7552,45.0016,44.2512,44.7552,1028300,0.3124,0.0,111463520.0
1988-07-14,44.7552,45.248,44.4976,45.0016,560800,0.3142,0.58,108500000.0
1988-07-15,45.0016,45.5056,44.7552,45.0016,741300,0.3142,0.0,107282560.0
1988-07-18,45.3712,45.9984,45.248,45.5056,1013400,0.3177,1.11,108188080.0
1988-07-19,45.0016,45.5056,43.8704,44.7552,1092000,0.3124,-1.67,110373200.0
1988-07-20,44.7552,45.0016,44.0048,44.2512,1072200,0.3089,-1.12,110197920.0
1988-07-21,43.7472,44.0048,42.7504,42.9968,1330600,0.3002,-2.82,107871120.0
1988-07-22,42.9968,43.2544,42.504,42.504,927200,0.2967,-1.17,109494000.0
1988-07-25,42.7504,43.2544,42.2464,42.7504,945500,0.2985,0.61,111053040.0
1988-07-26,42.7504,43.2544,42.2464,42.7504,906500,0.2985,0.0,111948480.0
1988-07-27,42.7504,43.2544,42.504,42.7504,1040400,0.2985,0.0,109646320.0
1988-07-28,42.504,42.9968,42.2464,42.6272,827500,0.2976,-0.3,107107840.0
1988-07-29,43.2544,44.4976,42.9968,44.3744,1419200,0.3098,4.1,109320960.0
1988-08-01,44.4976,45.752,44.2512,45.0016,767300,0.3142,1.42,108890880.0
